Disease,Risk_Level
Anthrax,High
Black Quarter,High
Foot and Mouth Disease,High
Rabies,High
Blue Tongue,High
Sheep and Goat Pox,High
Brucellosis,High
Tetanus,Mid
Listeriosis,Mid
Campylobacter Abortion,Mid
Johneâ€™s Disease,High
Bovine Ephemeral Fever,Mid
Rinderpest,High
Mastitis,Mid
Foot Rot,Mid
Bovine Rhinotracheitis,Mid
Peste des Petits Ruminants,High
Babesiosis,Mid
Theileriosis,High
East Coast Fever,High
Ringworm,Low
Milk Fever,Mid
Calf Scour,Mid
Haemorrhagic Septicaemia,High
Enterotoxaemia,High
Fascioliasis,Mid
Amphistomiasis,Low
Salmonellosis,High
Coccidiosis,Mid
Mange,Low
Anaplasmosis,Mid
Lumpy Skin Disease (Lumpy Virus),High
